provinsi,tahun,sektor,periode_upah,rata_rata_upah,periode_kemiskinan,gkm_makanan
RIAU,2025,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",FEBRUARI,2592471.0,MARET,525806.0
RIAU,2025,H Transportasi dan Pergudangan,FEBRUARI,3691124.0,MARET,525806.0
RIAU,2025,I Penyediaan Akomodasi dan Makan Minum,FEBRUARI,2504459.0,MARET,525806.0
RIAU,2025,J Informasi dan Komunikasi,FEBRUARI,3695123.0,MARET,525806.0
RIAU,2025,K Jasa Keuangan dan Asuransi,FEBRUARI,4313004.0,MARET,525806.0
RIAU,2025,L Real Estate,FEBRUARI,3808534.0,MARET,525806.0
RIAU,2025,"M,N Jasa Perusahaan",FEBRUARI,2931661.0,MARET,525806.0
RIAU,2025,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",FEBRUARI,3290958.0,MARET,525806.0
RIAU,2025,P Jasa Pendidikan,FEBRUARI,3053805.0,MARET,525806.0
RIAU,2025,Q Jasa Kesehatan dan Kegiatan Sosial,FEBRUARI,2889287.0,MARET,525806.0
RIAU,2025,"R,S,T,U Jasa Lainnya",FEBRUARI,2170657.0,MARET,525806.0
RIAU,2025,Total,FEBRUARI,3083274.0,MARET,525806.0
JAMBI,2025,"A Pertanian, Kehutanan dan Perikanan",FEBRUARI,2124354.0,MARET,501425.0
JAMBI,2025,B Pertambangan dan Penggalian,FEBRUARI,3629933.0,MARET,501425.0
JAMBI,2025,C Industri Pengolahan,FEBRUARI,2821050.0,MARET,501425.0
JAMBI,2025,D Pengadaan Listrik dan Gas,FEBRUARI,3484339.0,MARET,501425.0
JAMBI,2025,F Konstruksi,FEBRUARI,3037800.0,MARET,501425.0
JAMBI,2025,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",FEBRUARI,2417010.0,MARET,501425.0
JAMBI,2025,H Transportasi dan Pergudangan,FEBRUARI,3968981.0,MARET,501425.0
JAMBI,2025,I Penyediaan Akomodasi dan Makan Minum,FEBRUARI,1677292.0,MARET,501425.0
JAMBI,2025,J Informasi dan Komunikasi,FEBRUARI,3835937.0,MARET,501425.0
JAMBI,2025,K Jasa Keuangan dan Asuransi,FEBRUARI,3011289.0,MARET,501425.0
JAMBI,2025,"M,N Jasa Perusahaan",FEBRUARI,2808645.0,MARET,501425.0
JAMBI,2025,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",FEBRUARI,3796940.0,MARET,501425.0
JAMBI,2025,P Jasa Pendidikan,FEBRUARI,2902078.0,MARET,501425.0
JAMBI,2025,Q Jasa Kesehatan dan Kegiatan Sosial,FEBRUARI,2901689.0,MARET,501425.0
JAMBI,2025,"R,S,T,U Jasa Lainnya",FEBRUARI,1502896.0,MARET,501425.0
JAMBI,2025,Total,FEBRUARI,2789581.0,MARET,501425.0
SUMATERA SELATAN,2025,"A Pertanian, Kehutanan dan Perikanan",FEBRUARI,2036244.0,MARET,436639.0
SUMATERA SELATAN,2025,B Pertambangan dan Penggalian,FEBRUARI,5372913.0,MARET,436639.0
SUMATERA SELATAN,2025,C Industri Pengolahan,FEBRUARI,2816775.0,MARET,436639.0
SUMATERA SELATAN,2025,D Pengadaan Listrik dan Gas,FEBRUARI,5003443.0,MARET,436639.0
SUMATERA SELATAN,2025,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",FEBRUARI,2209857.0,MARET,436639.0
SUMATERA SELATAN,2025,F Konstruksi,FEBRUARI,2579261.0,MARET,436639.0
SUMATERA SELATAN,2025,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",FEBRUARI,2475334.0,MARET,436639.0
SUMATERA SELATAN,2025,H Transportasi dan Pergudangan,FEBRUARI,3263032.0,MARET,436639.0
SUMATERA SELATAN,2025,I Penyediaan Akomodasi dan Makan Minum,FEBRUARI,2042597.0,MARET,436639.0
SUMATERA SELATAN,2025,J Informasi dan Komunikasi,FEBRUARI,2346244.0,MARET,436639.0
SUMATERA SELATAN,2025,K Jasa Keuangan dan Asuransi,FEBRUARI,6538933.0,MARET,436639.0
SUMATERA SELATAN,2025,L Real Estate,FEBRUARI,3216569.0,MARET,436639.0
SUMATERA SELATAN,2025,"M,N Jasa Perusahaan",FEBRUARI,2833991.0,MARET,436639.0
SUMATERA SELATAN,2025,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",FEBRUARI,3016951.0,MARET,436639.0
SUMATERA SELATAN,2025,P Jasa Pendidikan,FEBRUARI,2694338.0,MARET,436639.0
SUMATERA SELATAN,2025,Q Jasa Kesehatan dan Kegiatan Sosial,FEBRUARI,2911147.0,MARET,436639.0
SUMATERA SELATAN,2025,"R,S,T,U Jasa Lainnya",FEBRUARI,1394667.0,MARET,436639.0
SUMATERA SELATAN,2025,Total,FEBRUARI,2727684.0,MARET,436639.0
BENGKULU,2025,"A Pertanian, Kehutanan dan Perikanan",FEBRUARI,2135850.0,MARET,503475.0
BENGKULU,2025,B Pertambangan dan Penggalian,FEBRUARI,4235185.0,MARET,503475.0
BENGKULU,2025,C Industri Pengolahan,FEBRUARI,2123224.0,MARET,503475.0
BENGKULU,2025,D Pengadaan Listrik dan Gas,FEBRUARI,2685226.0,MARET,503475.0
