provinsi,tahun,sektor,periode_upah,rata_rata_upah,periode_kemiskinan,gkm_makanan,rasio_daya_beli,gap_kesejahteraan,status_kerentanan
KALIMANTAN BARAT,2025,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",AGUSTUS,4147490.0,SEPTEMBER,491177.0,8.44,3656313.0,AMAN
KALIMANTAN BARAT,2025,F Konstruksi,AGUSTUS,3057439.0,SEPTEMBER,491177.0,6.22,2566262.0,AMAN
KALIMANTAN BARAT,2025,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",AGUSTUS,2359574.0,SEPTEMBER,491177.0,4.8,1868397.0,RENTAN
KALIMANTAN BARAT,2025,H Transportasi dan Pergudangan,AGUSTUS,3149551.0,SEPTEMBER,491177.0,6.41,2658374.0,AMAN
KALIMANTAN BARAT,2025,I Penyediaan Akomodasi dan Makan Minum,AGUSTUS,1860241.0,SEPTEMBER,491177.0,3.79,1369064.0,RENTAN
KALIMANTAN BARAT,2025,J Informasi dan Komunikasi,AGUSTUS,2916679.0,SEPTEMBER,491177.0,5.94,2425502.0,AMAN
KALIMANTAN BARAT,2025,K Jasa Keuangan dan Asuransi,AGUSTUS,4307032.0,SEPTEMBER,491177.0,8.77,3815855.0,AMAN
KALIMANTAN BARAT,2025,L Real Estate,AGUSTUS,3808101.0,SEPTEMBER,491177.0,7.75,3316924.0,AMAN
KALIMANTAN BARAT,2025,"M,N Jasa Perusahaan",AGUSTUS,2879945.0,SEPTEMBER,491177.0,5.86,2388768.0,AMAN
KALIMANTAN BARAT,2025,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",AGUSTUS,3993072.0,SEPTEMBER,491177.0,8.13,3501895.0,AMAN
KALIMANTAN BARAT,2025,P Jasa Pendidikan,AGUSTUS,3043549.0,SEPTEMBER,491177.0,6.2,2552372.0,AMAN
KALIMANTAN BARAT,2025,Q Jasa Kesehatan dan Kegiatan Sosial,AGUSTUS,3470610.0,SEPTEMBER,491177.0,7.07,2979433.0,AMAN
KALIMANTAN BARAT,2025,"R,S,T,U Jasa Lainnya",AGUSTUS,1674115.0,SEPTEMBER,491177.0,3.41,1182938.0,RENTAN
KALIMANTAN BARAT,2025,Total,AGUSTUS,2972111.0,SEPTEMBER,491177.0,6.05,2480934.0,AMAN
KALIMANTAN TENGAH,2025,"A Pertanian, Kehutanan dan Perikanan",AGUSTUS,3251951.0,SEPTEMBER,526003.0,6.18,2725948.0,AMAN
KALIMANTAN TENGAH,2025,B Pertambangan dan Penggalian,AGUSTUS,4253897.0,SEPTEMBER,526003.0,8.09,3727894.0,AMAN
KALIMANTAN TENGAH,2025,C Industri Pengolahan,AGUSTUS,3056312.0,SEPTEMBER,526003.0,5.81,2530309.0,AMAN
KALIMANTAN TENGAH,2025,D Pengadaan Listrik dan Gas,AGUSTUS,3327363.0,SEPTEMBER,526003.0,6.33,2801360.0,AMAN
KALIMANTAN TENGAH,2025,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",AGUSTUS,3293592.0,SEPTEMBER,526003.0,6.26,2767589.0,AMAN
KALIMANTAN TENGAH,2025,F Konstruksi,AGUSTUS,3716973.0,SEPTEMBER,526003.0,7.07,3190970.0,AMAN
KALIMANTAN TENGAH,2025,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",AGUSTUS,2628652.0,SEPTEMBER,526003.0,5.0,2102649.0,RENTAN
KALIMANTAN TENGAH,2025,H Transportasi dan Pergudangan,AGUSTUS,3688061.0,SEPTEMBER,526003.0,7.01,3162058.0,AMAN
KALIMANTAN TENGAH,2025,I Penyediaan Akomodasi dan Makan Minum,AGUSTUS,1863206.0,SEPTEMBER,526003.0,3.54,1337203.0,RENTAN
