provinsi,tahun,upah,gk
NUSA TENGGARA BARAT,2015,9187,318463.5
NUSA TENGGARA BARAT,2016,9940,335284.0
NUSA TENGGARA BARAT,2017,10962,349015.5
NUSA TENGGARA BARAT,2018,11359,369733.5
NUSA TENGGARA BARAT,2019,11954,388532.0
NUSA TENGGARA BARAT,2020,13627,406473.5
NUSA TENGGARA BARAT,2021,12992,432608.0
NUSA TENGGARA BARAT,2022,11734,474890.5
NUSA TENGGARA TIMUR,2015,11436,302543.5
NUSA TENGGARA TIMUR,2016,12868,324975.0
NUSA TENGGARA TIMUR,2017,12281,345066.5
NUSA TENGGARA TIMUR,2018,12318,357483.5
NUSA TENGGARA TIMUR,2019,12610,378842.0
NUSA TENGGARA TIMUR,2020,17696,403858.5
NUSA TENGGARA TIMUR,2021,16386,426361.5
NUSA TENGGARA TIMUR,2022,13012,475866.0
KALIMANTAN BARAT,2015,12671,332014.0
KALIMANTAN BARAT,2016,13580,355453.5
KALIMANTAN BARAT,2017,14734,387030.5
KALIMANTAN BARAT,2018,14614,415058.5
KALIMANTAN BARAT,2019,15309,445727.0
KALIMANTAN BARAT,2020,16098,472729.5
KALIMANTAN BARAT,2021,16127,494340.5
KALIMANTAN BARAT,2022,16337,536163.5
KALIMANTAN TENGAH,2015,14218,356227.5
KALIMANTAN TENGAH,2016,16515,377004.0
KALIMANTAN TENGAH,2017,16737,404186.0
KALIMANTAN TENGAH,2018,17489,420511.0
KALIMANTAN TENGAH,2019,18090,447830.0
KALIMANTAN TENGAH,2020,20677,489126.5
KALIMANTAN TENGAH,2021,21040,514930.5
KALIMANTAN TENGAH,2022,19795,566878.0
KALIMANTAN SELATAN,2015,13559,351149.0
KALIMANTAN SELATAN,2016,14007,383376.0
KALIMANTAN SELATAN,2017,15507,411198.5
KALIMANTAN SELATAN,2018,15735,431968.0
KALIMANTAN SELATAN,2019,16517,467672.0
KALIMANTAN SELATAN,2020,18863,500474.0
KALIMANTAN SELATAN,2021,18874,523097.5
KALIMANTAN SELATAN,2022,18661,567151.5
KALIMANTAN TIMUR,2015,16323,483958.0
KALIMANTAN TIMUR,2016,18514,518945.5
KALIMANTAN TIMUR,2017,21864,554981.0
KALIMANTAN TIMUR,2018,21303,586452.0
KALIMANTAN TIMUR,2019,21691,623923.0
KALIMANTAN TIMUR,2020,24097,665962.0
KALIMANTAN TIMUR,2021,23943,696129.0
KALIMANTAN TIMUR,2022,22281,748164.0
KALIMANTAN UTARA,2015,16608,484353.5
KALIMANTAN UTARA,2016,17547,522090.0
KALIMANTAN UTARA,2017,20392,565172.0
KALIMANTAN UTARA,2018,18931,603274.0
KALIMANTAN UTARA,2019,20639,659624.5
KALIMANTAN UTARA,2020,26002,687999.0
KALIMANTAN UTARA,2021,22972,720668.5
KALIMANTAN UTARA,2022,20320,787740.0
SULAWESI UTARA,2015,12761,301234.5
SULAWESI UTARA,2016,16046,318231.0
SULAWESI UTARA,2017,17112,334956.5
SULAWESI UTARA,2018,16954,350662.0
SULAWESI UTARA,2019,18350,375603.0
SULAWESI UTARA,2020,21390,394612.0
SULAWESI UTARA,2021,20963,414367.5
SULAWESI UTARA,2022,18335,440742.5
SULAWESI TENGAH,2015,12365,348667.5
SULAWESI TENGAH,2016,13238,379216.5
SULAWESI TENGAH,2017,13770,400142.5
SULAWESI TENGAH,2018,13462,418912.0
SULAWESI TENGAH,2019,14682,453781.5
SULAWESI TENGAH,2020,18140,479144.5
SULAWESI TENGAH,2021,20637,501240.0
SULAWESI TENGAH,2022,15890,543717.0
SULAWESI SELATAN,2015,12560,255122.5
SULAWESI SELATAN,2016,14827,272981.0
SULAWESI SELATAN,2017,15841,288909.5
SULAWESI SELATAN,2018,15777,311141.0
SULAWESI SELATAN,2019,17105,335717.5
SULAWESI SELATAN,2020,19172,356147.5
